Disease_Trait,Diversity_Trait,N_Microbes,Compartment,Model,pVal,R_Squared
percent_diseased,observed_features_tissue,415583,tissue,lm(y_trait_positive ~ x_trait_positive -1),0.07171318,0.139954091
percent_diseased,gini_index_tissue,415583,tissue,lm(y_trait_positive ~ x_trait_positive -1),0.338767525,0.041654888
percent_diseased,dominance_tissue,415583,tissue,lm(y_trait_positive ~ x_trait_positive -1),0.000815694,0.405781265
percent_black_band_disease,observed_features_tissue,415583,tissue,lm(y_trait_positive ~ x_trait_positive -1),0.257792177,0.05780091
percent_black_band_disease,gini_index_tissue,415583,tissue,lm(y_trait_positive ~ x_trait_positive -1),0.590346092,0.013384885
percent_black_band_disease,dominance_tissue,415583,tissue,lm(y_trait_positive ~ x_trait_positive -1),0.993353458,3.23E-06
percent_white_disease,observed_features_tissue,415583,tissue,lm(y_trait_positive ~ x_trait_positive -1),0.535706232,0.017676291
percent_white_disease,gini_index_tissue,415583,tissue,lm(y_trait_positive ~ x_trait_positive -1),0.167608081,0.084723183
percent_white_disease,dominance_tissue,415583,tissue,lm(y_trait_positive ~ x_trait_positive -1),0.743026756,0.004985397
percent_skeletal_eroding_band,observed_features_tissue,415583,tissue,lm(y_trait_positive ~ x_trait_positive -1),0.079700797,0.133036904
percent_skeletal_eroding_band,gini_index_tissue,415583,tissue,lm(y_trait_positive ~ x_trait_positive -1),0.754778029,0.00452612
percent_skeletal_eroding_band,dominance_tissue,415583,tissue,lm(y_trait_positive ~ x_trait_positive -1),0.792759828,0.003204492
percent_diseased,observed_features_skeleton,415583,skeleton,lm(y_trait_positive ~ x_trait_positive -1),0.17931538,0.08041947
percent_diseased,gini_index_skeleton,415583,skeleton,lm(y_trait_positive ~ x_trait_positive -1),0.336870027,0.04197638
percent_diseased,dominance_skeleton,415583,skeleton,lm(y_trait_positive ~ x_trait_positive -1),0.116437068,0.108256173
percent_black_band_disease,observed_features_skeleton,415583,skeleton,lm(y_trait_positive ~ x_trait_positive -1),0.447250597,0.026499497
percent_black_band_disease,gini_index_skeleton,415583,skeleton,lm(y_trait_positive ~ x_trait_positive -1),0.414125484,0.030533701
percent_black_band_disease,dominance_skeleton,415583,skeleton,lm(y_trait_positive ~ x_trait_positive -1),0.849083206,0.001682293
percent_white_disease,observed_features_skeleton,415583,skeleton,lm(y_trait_positive ~ x_trait_positive -1),0.006588806,0.290374856
percent_white_disease,gini_index_skeleton,415583,skeleton,lm(y_trait_positive ~ x_trait_positive -1),0.038044774,0.181276637
percent_white_disease,dominance_skeleton,415583,skeleton,lm(y_trait_positive ~ x_trait_positive -1),0.271710138,0.054620733
percent_skeletal_eroding_band,observed_features_skeleton,415583,skeleton,lm(y_trait_positive ~ x_trait_positive -1),0.165082236,0.085694217
percent_skeletal_eroding_band,gini_index_skeleton,415583,skeleton,lm(y_trait_positive ~ x_trait_positive -1),0.555172946,0.016056958
percent_skeletal_eroding_band,dominance_skeleton,415583,skeleton,lm(y_trait_positive ~ x_trait_positive -1),0.001613459,0.369971394
percent_diseased,observed_features_mucus,415583,mucus,lm(y_trait_positive ~ x_trait_positive -1),0.061653377,0.156544954
percent_diseased,gini_index_mucus,415583,mucus,lm(y_trait_positive ~ x_trait_positive -1),0.697015665,0.007365318
percent_diseased,dominance_mucus,415583,mucus,lm(y_trait_positive ~ x_trait_positive -1),0.181646599,0.083311996
percent_black_band_disease,observed_features_mucus,415583,mucus,lm(y_trait_positive ~ x_trait_positive -1),0.755263275,0.00472691
percent_black_band_disease,gini_index_mucus,415583,mucus,lm(y_trait_positive ~ x_trait_positive -1),0.383777825,0.036313677
percent_black_band_disease,dominance_mucus,415583,mucus,lm(y_trait_positive ~ x_trait_positive -1),0.873603532,0.001233375
percent_white_disease,observed_features_mucus,415583,mucus,lm(y_trait_positive ~ x_trait_positive -1),0.02080125,0.229285431
percent_white_disease,gini_index_mucus,415583,mucus,lm(y_trait_positive ~ x_trait_positive -1),0.245979474,0.06352276
percent_white_disease,dominance_mucus,415583,mucus,lm(y_trait_positive ~ x_trait_positive -1),0.267013993,0.058304691
percent_skeletal_eroding_band,observed_features_mucus,415583,mucus,lm(y_trait_positive ~ x_trait_positive -1),0.293008132,0.052489258
percent_skeletal_eroding_band,dominance_mucus,415583,mucus,lm(y_trait_positive ~ x_trait_positive -1),0.444950616,0.028051494
percent_skeletal_eroding_band,gini_index_mucus,415583,mucus,lm(y_trait_positive ~ x_trait_positive -1),0.777569016,0.00388392
percent_diseased,observed_features_all,415583,all,lm(y_trait_positive ~ x_trait_positive -1),0.094129763,0.122142549
percent_diseased,gini_index_all,415583,all,lm(y_trait_positive ~ x_trait_positive -1),0.484779596,0.022439242
percent_diseased,dominance_all,415583,all,lm(y_trait_positive ~ x_trait_positive -1),0.003240504,0.331478994
percent_black_band_disease,observed_features_all,415583,all,lm(y_trait_positive ~ x_trait_positive -1),0.463013842,0.024732169
percent_black_band_disease,gini_index_all,415583,all,lm(y_trait_positive ~ x_trait_positive -1),0.488246124,0.022089064
percent_black_band_disease,dominance_all,415583,all,lm(y_trait_positive ~ x_trait_positive -1),0.998424022,1.81E-07
percent_white_disease,observed_features_all,415583,all,lm(y_trait_positive ~ x_trait_positive -1),0.064895613,0.146494297
percent_white_disease,gini_index_all,415583,all,lm(y_trait_positive ~ x_trait_positive -1),0.20615841,0.071610721
percent_white_disease,dominance_all,415583,all,lm(y_trait_positive ~ x_trait_positive -1),0.657568341,0.009094871
"percent_skeletal_eroding_band","observed_features_all",415583,"all","lm(y_trait_positive ~ x_trait_positive -1)",0.097135606645503,0.120086498969189
"percent_skeletal_eroding_band","gini_index_all",415583,"all","lm(y_trait_positive ~ x_trait_positive -1)",0.659565911698395,0.0089824627156869
"percent_skeletal_eroding_band","dominance_all",415583,"all","lm(y_trait_positive ~ x_trait_positive -1)",0.292432994280554,0.0502284458705114
