model_name,model_formula,k,q,C,p,CICc,delta_CICc,l,w
Model 8,GR__EN,2,4,4.134580039,0.388098705,16.13458004,0,1,0.222143047
Model 7,EN__GR,2,4,4.262541536,0.371639177,16.26254154,0.127961497,0.938023058,0.2083753
Model 2,EN__GR__DS,1,5,0.87098949,0.646944515,17.53765616,1.403076117,0.495822114,0.110143435
Model 6,DS__GR__EN,1,5,0.87098949,0.646944515,17.53765616,1.403076117,0.495822114,0.110143435
Model 13,DS_and_EN__GR,1,5,0.87098949,0.646944515,17.53765616,1.403076117,0.495822114,0.110143435
Model 4,GR__DS_plus_EN,1,5,0.95999027,0.618786402,17.62665694,1.492076897,0.474241569,0.105349467
Model 5,DS__EN__GR,1,5,3.174589769,0.204478001,19.84125644,3.706676397,0.156713153,0.034812737
Model 14,DS_and_GR__EN,1,5,3.174589769,0.204478001,19.84125644,3.706676397,0.156713153,0.034812737
Model 1,EN__DS_plus_GR,1,5,3.391552047,0.183456807,20.05821871,3.923638674,0.140602385,0.031233842
Model 9,GR__DS,2,4,9.754980072,0.044763588,21.75498007,5.620400032,0.060192952,0.013371446
Model 12,DS__GR,2,4,10.29832493,0.035691362,22.29832493,6.163744895,0.045873281,0.01019043
Model 10,EN__DS,2,4,12.18654185,0.016016684,24.18654185,8.051961809,0.01784591,0.003964345
Model 11,DS__EN,2,4,12.60192521,0.013393893,24.60192521,8.467345175,0.014499044,0.003220862
Model 3,GR__DS__EN,1,5,8.794989802,0.012308134,25.46165647,9.327076429,0.009433027,0.002095481